Title,Date,Description,Subjects,Location,Latitude,Longitude,Identifier,link,cdmid,Search
"Wallace (Idaho),  Meeting Minutes, 1916",6/12/1916,"Photograph of handwritten meeting minutes from the board of directors of Murphy Lucas Clothing Co. Wallace, Idaho. According to the minutes, J.J. Murphy was elected president of the company, John Lucas, vice president and Mabel Murphy, secretary & treasurer.",minutes; documents; | Historical documents--Idaho--Wallace; | Documents;,Wallace,,,8-X00210a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/181,181,"Wallace (Idaho),  Meeting Minutes, 1916 | 6008 | Photograph of handwritten meeting minutes from the board of directors of Murphy Lucas Clothing Co. Wallace, Idaho. According to the minutes, J.J. Murphy was elected president of the company, John Lucas, vice president and Mabel Murphy, secretary & treasurer. | minutes; documents; | Historical documents--Idaho--Wallace; | Documents; | Wallace"
"Wallace (Idaho),  Meeting Minutes, 1916",6/12/1916,Image of some voting ballots from Murphy Lucas Clothing Co. stockholder's meeting that were included in the meeting minutes.,minutes; ballots; documents; | Historical documents--Idaho--Wallace; | Ballots; Documents;,Wallace,,,8-X00211,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/182,182,"Wallace (Idaho),  Meeting Minutes, 1916 | 6008 | Image of some voting ballots from Murphy Lucas Clothing Co. stockholder's meeting that were included in the meeting minutes. | minutes; ballots; documents; | Historical documents--Idaho--Wallace; | Ballots; Documents; | Wallace"
"Wallace (Idaho), Document, 1913",1913,"Photograph of a document written presumably in Serbian. The letterhead, partly in English, says""Serb Benevolent Society United Serbians Lodge no. 114 S.F. Sloga"". Caption on front:""Marich, Peter - document"".",documents; Serbian | Historical documents--Idaho--Wallace; | Documents; Serbian language;,Wallace,,,8-X00212,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/183,183,"Wallace (Idaho), Document, 1913 | 1913 | Photograph of a document written presumably in Serbian. The letterhead, partly in English, says""Serb Benevolent Society United Serbians Lodge no. 114 S.F. Sloga"". Caption on front:""Marich, Peter - document"". | documents; Serbian | Historical documents--Idaho--Wallace; | Documents; Serbian language; | Wallace"
Burke (Idaho),,"Distant view of Burke, with the school in the center. Caption on front: ""Masser (John W.) Mining property across from Marsh Mine"".",mining towns; schools (buildings); | Burke (Idaho); | Cities and towns; Wooden buildings;Schools;,Burke,47.520278,-115.819167,8-X00213a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/184,184,"Burke (Idaho) |  | Distant view of Burke, with the school in the center. Caption on front: ""Masser (John W.) Mining property across from Marsh Mine"". | mining towns; schools (buildings); | Burke (Idaho); | Cities and towns; Wooden buildings;Schools; | Burke"
Burke (Idaho),,"Angled view of Burke, Idaho, taken from the opposite hillside. Caption on front:""Masser, John W. Mining property, Burke, Idaho"".",mining towns; | Burke (Idaho); | Cities and towns; Wooden buildings;,Burke,47.520288,-115.819177,8-X00213b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/185,185,"Burke (Idaho) |  | Angled view of Burke, Idaho, taken from the opposite hillside. Caption on front:""Masser, John W. Mining property, Burke, Idaho"". | mining towns; | Burke (Idaho); | Cities and towns; Wooden buildings; | Burke"
Burke (Idaho),,"View of some mine rails and mining shacks. Caption on front:""Masser, John W. Mining property, Burke, Idaho"".",mine buildings; | Burke (Idaho); | Mine buildings -- Burke; Mining;,Burke,47.520266,-115.819155,8-X00213c,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/186,186,"Burke (Idaho) |  | View of some mine rails and mining shacks. Caption on front:""Masser, John W. Mining property, Burke, Idaho"". | mine buildings; | Burke (Idaho); | Mine buildings -- Burke; Mining; | Burke"
Burke (Idaho),,"View of the town of Burke, with the school in the center, taken from the hillside. Caption on front:""Masser, John W. - Mining property, Burke Idaho. School in center looking north"".",mining towns; schools (buildings); | Burke (Idaho); | Cities and towns; Wooden buildings; Schools;,Burke,47.520255,-115.819144,8-X00213d,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/187,187,"Burke (Idaho) |  | View of the town of Burke, with the school in the center, taken from the hillside. Caption on front:""Masser, John W. - Mining property, Burke Idaho. School in center looking north"". | mining towns; schools (buildings); | Burke (Idaho); | Cities and towns; Wooden buildings; Schools; | Burke"
"Eagle (Idaho), Mill Placer",,Image of Mill Placer up Fancy Gulch off of Eagle Creek in the Coeur d'Alene mining district.,strip mining; | Placer mining--Idaho--Murray--History; | Hydraulic mining;,Eagle (Prichard),47.650124,-115.898501,8-X00214,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/188,188,"Eagle (Idaho), Mill Placer |  | Image of Mill Placer up Fancy Gulch off of Eagle Creek in the Coeur d'Alene mining district. | strip mining; | Placer mining--Idaho--Murray--History; | Hydraulic mining; | Eagle (Prichard)"
"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1912",1912,"The milling plant at Bunker Hill and Sullivan Mill in Kellogg, Idaho [1912]; The plant capacity was 100-tons an hour. Image shows piles of lumber and various milling buildings.",mine buildings; silver mines; | Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings;,-Kellogg (Masonia),47.538227,-116.119323,8-X00017,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/189,189,"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1912 | 1912 | The milling plant at Bunker Hill and Sullivan Mill in Kellogg, Idaho [1912]; The plant capacity was 100-tons an hour. Image shows piles of lumber and various milling buildings. | mine buildings; silver mines; | Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; | -Kellogg (Masonia)"
"Hercules Mine, Burke (Idaho), 1901",1901,"Group of nine men and women in front of the Hercules Mine, shortly after its discovery; Caption on Front: Taken by buildings at Hercules No. 2 level. L to R: Ed Hedin, a Day employee; Emma Markwell; Henry Floyd Samuels; May Hutton; Jerome Day; Miss Hedin (sister of Ed Hedin); Myrtle White (who married Paulsen), and L. W. Hutton, wearing a cooks apron. August Paulsen stands on the wood pile.",mine buildings; groups of people; | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Men ; Women ;   -- Burke; Mining camps,Burke,47.537072,-115.823073,8-X00145,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/190,190,"Hercules Mine, Burke (Idaho), 1901 | 1901 | Group of nine men and women in front of the Hercules Mine, shortly after its discovery; Caption on Front: Taken by buildings at Hercules No. 2 level. L to R: Ed Hedin, a Day employee; Emma Markwell; Henry Floyd Samuels; May Hutton; Jerome Day; Miss Hedin (sister of Ed Hedin); Myrtle White (who married Paulsen), and L. W. Hutton, wearing a cooks apron. August Paulsen stands on the wood pile. | mine buildings; groups of people; | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Men ; Women ;   -- Burke; Mining camps | Burke"
"Wardner (Idaho), School, 1907",1907,"Wardner school, built in 1905.",schools (buildings); | School buildings; | Schools;,Wardner (Kellogg West),47.521019,-116.138669,8-X00215,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/191,191,"Wardner (Idaho), School, 1907 | 1907 | Wardner school, built in 1905. | schools (buildings); | School buildings; | Schools; | Wardner (Kellogg West)"
"Wallace (Idaho), Dr. Charles Mowery's residence",,"Photo of the exterior of the Dr. Charles Mowery residence in Wallace, Idaho. Mowrey was a one-time mayor of Wallace.",dwellings; mining towns; | Wallace (Idaho); | Houses;,Wallace,,,8-X00216a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/192,192,"Wallace (Idaho), Dr. Charles Mowery's residence |  | Photo of the exterior of the Dr. Charles Mowery residence in Wallace, Idaho. Mowrey was a one-time mayor of Wallace. | dwellings; mining towns; | Wallace (Idaho); | Houses; | Wallace"
"Wallace (Idaho), Dr. Charles Mowery's residence",,"Angled view of the exterior of the Dr. Charles Mowery residence in Wallace, Idaho.",dwellings; mining towns; | Wallace (Idaho) | Houses;,Wallace,,,8-X00216b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/193,193,"Wallace (Idaho), Dr. Charles Mowery's residence |  | Angled view of the exterior of the Dr. Charles Mowery residence in Wallace, Idaho. | dwellings; mining towns; | Wallace (Idaho) | Houses; | Wallace"
"Tiger Mill, Burke (Idaho), 1915",1915,Photograph of the Tiger Mill. Photo shows five blurry images of men standing among the tracks that run through the center of the operations.,mine buildings; mills (buildings) | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining;,Burke,47.523266,-115.805681,8-X00218,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/194,194,"Tiger Mill, Burke (Idaho), 1915 | 1915 | Photograph of the Tiger Mill. Photo shows five blurry images of men standing among the tracks that run through the center of the operations. | mine buildings; mills (buildings) | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; | Burke"
Black Bear (Idaho),,"Close up view of railroad tracks and mine buildings. Caption on front:""Northern Pacific Railway (tracks), Black Bear Accident at Black Bear"".",railroads; mine buildings; | Mine railroads; | Mine buildings -- Burke; Mining; Railroad tracks;,Black Bear (Burke),47.519011,-115.839011,8-X00217a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/195,195,"Black Bear (Idaho) |  | Close up view of railroad tracks and mine buildings. Caption on front:""Northern Pacific Railway (tracks), Black Bear Accident at Black Bear"". | railroads; mine buildings; | Mine railroads; | Mine buildings -- Burke; Mining; Railroad tracks; | Black Bear (Burke)"
"Tiger-Poorman Mill, Burke (Idaho), 1904",1904,"This image of the exterior of the Tiger-Poorman Mill in Burke, shows an elevated tramway and more wooden structures than a photo of the same location dated 1915.",mine buildings; mills (buildings) | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining;,Burke,47.523244,-115.805699,8-X00219,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/196,196,"Tiger-Poorman Mill, Burke (Idaho), 1904 | 1904 | This image of the exterior of the Tiger-Poorman Mill in Burke, shows an elevated tramway and more wooden structures than a photo of the same location dated 1915. | mine buildings; mills (buildings) | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; | Burke"
"Success Mine, Wallace (Idaho)",,"Distant view of the hillside, showing some scattered mine timbers and various outbuildings. Caption on front: ""Success Mine, Wallace, Idaho"".",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining;,Wallace,47.527021,-115.881021,8-X00220a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/197,197,"Success Mine, Wallace (Idaho) |  | Distant view of the hillside, showing some scattered mine timbers and various outbuildings. Caption on front: ""Success Mine, Wallace, Idaho"". | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining; | Wallace"
"Success Mine, Wallace (Idaho)",,"Success Mine, Wallace, Idaho.  Taken for George R. Trask",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining;,Wallace,47.527001,-115.881011,8-X00220b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/198,198,"Success Mine, Wallace (Idaho) |  | Success Mine, Wallace, Idaho.  Taken for George R. Trask | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining; | Wallace"
"Success Mine, Wallace (Idaho)",,"Success Mine, Wallace, Idaho.",mine buildings; mines (extracting complexes); | Mine buildings -- Wallace; Mining;,Wallace,47.527001,-115.881001,8-X00221a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/199,199,"Success Mine, Wallace (Idaho) |  | Success Mine, Wallace, Idaho. | mine buildings; mines (extracting complexes); | Mine buildings -- Wallace; Mining; | Wallace"
"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1909",1909,"Bunker Hill and Sullivan Mill, Kellogg [1909] Shows new mill, tailing plant and old Mill.",mine buildings; silver mines; | Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings;,-Kellogg (Masonia),47.538257,-116.119333,8-X00018,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/200,200,"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1909 | 1909 | Bunker Hill and Sullivan Mill, Kellogg [1909] Shows new mill, tailing plant and old Mill. | mine buildings; silver mines; | Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; | -Kellogg (Masonia)"
"Success Mine, Wallace (Idaho)",,"Distant view of the hillside. Caption on front: ""Success Mine, Wallace, Idaho"".",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining;,Wallace,47.527022,-115.881022,8-X00221b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/201,201,"Success Mine, Wallace (Idaho) |  | Distant view of the hillside. Caption on front: ""Success Mine, Wallace, Idaho"". | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining; | Wallace"
"Success Mine, Wallace (Idaho)",,"View of some scattered railroad ties on a gravel rail bed leading to some mine buildings. Caption on front: ""Success Mine, Wallace,  Taken for George R. Trask"".",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining;,Wallace,47.527011,-115.881033,8-X00221c,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/202,202,"Success Mine, Wallace (Idaho) |  | View of some scattered railroad ties on a gravel rail bed leading to some mine buildings. Caption on front: ""Success Mine, Wallace,  Taken for George R. Trask"". | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; Mine buildings; | Mine buildings -- Wallace; Mining; | Wallace"
"Hercules Mine, Burke (Idaho)",,"Image shows the dark interior walls of the Hercules Mine in Burke, Idaho.",mine shafts; mines (extracting complexes); | Mine shafts; Silver mines and mining -- Idaho -- Shoshone County; | Mining -- Burke;,Burke,47.537082,-115.823083,8-X00146,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/203,203,"Hercules Mine, Burke (Idaho) |  | Image shows the dark interior walls of the Hercules Mine in Burke, Idaho. | mine shafts; mines (extracting complexes); | Mine shafts; Silver mines and mining -- Idaho -- Shoshone County; | Mining -- Burke; | Burke"
"Tamarack & Interstate Mines, Wallace (Idaho)",,View between Tamarack and Interstate (mines not shown). Image also shows a man and a young boy sitting in a car at the side of the road.,claims; trees; automobiles; | Silver mines and mining -- Idaho -- Shoshone County; | Mining; Automobiles;,Wallace,47.543021,-115.847011,8-X00222,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/204,204,"Tamarack & Interstate Mines, Wallace (Idaho) |  | View between Tamarack and Interstate (mines not shown). Image also shows a man and a young boy sitting in a car at the side of the road. | claims; trees; automobiles; | Silver mines and mining -- Idaho -- Shoshone County; | Mining; Automobiles; | Wallace"
"Tamarack & Chesapeake Mine, Burke (Idaho), 1906",1906,"Tamarack and Chesapeake Mine. Image shows the portal and several wooden outbuildings.  Caption on front:""Puritan tunnel through which the Tamarack bonanza ore channel was developed"".",mine buildings; portals; | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining;,Burke,47.533021,-115.873011,8-X00223,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/205,205,"Tamarack & Chesapeake Mine, Burke (Idaho), 1906 | 1906 | Tamarack and Chesapeake Mine. Image shows the portal and several wooden outbuildings.  Caption on front:""Puritan tunnel through which the Tamarack bonanza ore channel was developed"". | mine buildings; portals; | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; | Burke"
"Wallace (Idaho), United Stores Co.",,"Photograph of the United Stores Co. window display featuring ""Libby's Pure Tomato Catchup"".",storefronts; commercial buildings; | Ketchup; Storefronts; Wallace (Idaho); | Stores & shops; Ketchup;,Wallace,,,8-X00224a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/206,206,"Wallace (Idaho), United Stores Co. |  | Photograph of the United Stores Co. window display featuring ""Libby's Pure Tomato Catchup"". | storefronts; commercial buildings; | Ketchup; Storefronts; Wallace (Idaho); | Stores & shops; Ketchup; | Wallace"
"Wallace (Idaho), Worstell Co. Store, 1917",1917,Exterior view of the Worstell Co. Store building. A variety of furnishings and housewares ca be seen through the windows. A street lamp hangs in the foreground of the photo.,storefronts; business (commercial function); | Wallace (Idaho); Storefronts; | Stores & shops; Furniture stores; Street lights;,Wallace,,,8-X00226,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/207,207,"Wallace (Idaho), Worstell Co. Store, 1917 | 1917 | Exterior view of the Worstell Co. Store building. A variety of furnishings and housewares ca be seen through the windows. A street lamp hangs in the foreground of the photo. | storefronts; business (commercial function); | Wallace (Idaho); Storefronts; | Stores & shops; Furniture stores; Street lights; | Wallace"
"Wallace (Idaho), Wallace High School, 1910",1910,Exterior view of the Wallace High School building. This brick building sports an American flag and a cupola/clock & bell tower on the roof.,high schools; cupolas; | Public schools; Wallace (Idaho); | Schools; Cupolas,Wallace,47.473698,-115.926162,8-X00228,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/208,208,"Wallace (Idaho), Wallace High School, 1910 | 1910 | Exterior view of the Wallace High School building. This brick building sports an American flag and a cupola/clock & bell tower on the roof. | high schools; cupolas; | Public schools; Wallace (Idaho); | Schools; Cupolas | Wallace"
"Wallace (Idaho), Wallace High School, 1909",1909,"Image of the outside of the Wallace High School, before the awning covering the front steps was added. Caption on front: ""Wallace High School"".",high schools; cupolas; | Public schools; Wallace (Idaho); | Schools; Cupolas;,Wallace,47.473688,-115.926172,8-X00229,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/209,209,"Wallace (Idaho), Wallace High School, 1909 | 1909 | Image of the outside of the Wallace High School, before the awning covering the front steps was added. Caption on front: ""Wallace High School"". | high schools; cupolas; | Public schools; Wallace (Idaho); | Schools; Cupolas; | Wallace"
"Sunset (Idaho), 1915",1915,"Caption on front:""Sunset, Idaho"". Image shows a variety of buildings. Railroad boxcars line the tracks. A wooden railroad trestle can be seen in the distance.",mining towns; trestles (bridges); | Cities and towns; Trestles; Wooden buildings;,(Burke),47.519099,-115.825099,8-X00230,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/210,210,"Sunset (Idaho), 1915 | 1915 | Caption on front:""Sunset, Idaho"". Image shows a variety of buildings. Railroad boxcars line the tracks. A wooden railroad trestle can be seen in the distance. | mining towns; trestles (bridges); | Cities and towns; Trestles; Wooden buildings; |  (Burke)"
"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1904",1904,"Images shows the Bunker Hill and Sullivan Mill in Kellogg, Idaho [1904]; Various milling buildings are pictured; Image is the same as 8-B490.",mine buildings; silver mines; |  Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings;,-Kellogg (Masonia),47.538247,-116.119323,8-X00019,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/211,211,"Bunker Hill and Sullivan Mill, Kellogg (Idaho), 1904 | 1904 | Images shows the Bunker Hill and Sullivan Mill in Kellogg, Idaho [1904]; Various milling buildings are pictured; Image is the same as 8-B490. | mine buildings; silver mines; |  Bunker Hill and Sullivan Mining and Concentrating Company; Mines and mineral resources -- Idaho; Silver mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; | -Kellogg (Masonia)"
"Wallace (Idaho), Wallace High School, Swimming Pool",,"Interior image of the Wallace High School swimming pool. This photo shows several male students posing in diving positions, sitting around and swimming in the pool.",indoor swimming pools; high schools; | Swimming pools--Idaho--Wallace; | Swimmers; Swimming pools; Schools;,Wallace,47.473678,-115.926182,8-X00231a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/212,212,"Wallace (Idaho), Wallace High School, Swimming Pool |  | Interior image of the Wallace High School swimming pool. This photo shows several male students posing in diving positions, sitting around and swimming in the pool. | indoor swimming pools; high schools; | Swimming pools--Idaho--Wallace; | Swimmers; Swimming pools; Schools; | Wallace"
"Wallace (Idaho), Wallace High School, Swimming Pool",,"Interior image of the Wallace High School swimming pool. This photo shows several male students posing in diving positions, sitting around and swimming in the pool.",indoor swimming pools; high schools; | Swimmers; Swimming pools; Schools;,Wallace,47.473668,-115.926192,8-X00231b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/213,213,"Wallace (Idaho), Wallace High School, Swimming Pool |  | Interior image of the Wallace High School swimming pool. This photo shows several male students posing in diving positions, sitting around and swimming in the pool. | indoor swimming pools; high schools; | Swimmers; Swimming pools; Schools; | Wallace"
"Wallace (Idaho), Automobile",,"Image shows two men sitting in a car, next to a building in Wallace. Caption on front: ""Stone, Ed - Car Ed Stone and unidentified man in auto"".",automobiles; | Automobiles; Wallace (Idaho); | Automobiles;,Wallace,,,8-X00233,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/214,214,"Wallace (Idaho), Automobile |  | Image shows two men sitting in a car, next to a building in Wallace. Caption on front: ""Stone, Ed - Car Ed Stone and unidentified man in auto"". | automobiles; | Automobiles; Wallace (Idaho); | Automobiles; | Wallace"
"Coeur d'Alene (Idaho), Steam Launch, 1915",1915,Photograph of the steam launch Juliette taking off from Lake Coeur d'Alene with five passengers.,steamboats; lakes (bodies of water) | Boats & boating--Idaho--Coeur d'Alene; | Launches; Passengers; Steamboats:,--Kootenai County (Post Falls),47.709128,-116.953775,8-X00234,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/215,215,"Coeur d'Alene (Idaho), Steam Launch, 1915 | 1915 | Photograph of the steam launch Juliette taking off from Lake Coeur d'Alene with five passengers. | steamboats; lakes (bodies of water) | Boats & boating--Idaho--Coeur d'Alene; | Launches; Passengers; Steamboats: | --Kootenai County (Post Falls)"
"Hercules Mine, Burke (Idaho)",,"View of Hercules Mine in Burke, Idaho.",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining;,Burke,47.537028,-115.823093,8-X00147a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/216,216,"Hercules Mine, Burke (Idaho) |  | View of Hercules Mine in Burke, Idaho. | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; | Burke"
Coeur d'Alene Mining District (Idaho),,"Image show a group of miners using an hydraulic placer mining method, common to many claims in the Coeur d'Alene mining district. Caption on front:""Spokane Hydraulic Placer Mining"".",strip mining; | Placer mining--Idaho | Hydraulic mining,--Kootenai County (Post Falls),47.709138,-116.953755,8-X00235,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/217,217,"Coeur d'Alene Mining District (Idaho) |  | Image show a group of miners using an hydraulic placer mining method, common to many claims in the Coeur d'Alene mining district. Caption on front:""Spokane Hydraulic Placer Mining"". | strip mining; | Placer mining--Idaho | Hydraulic mining | --Kootenai County (Post Falls)"
"Black Bear (Idaho), Snow Slide, 1894",1894,"Caption on Front:""Rotary plows on Oregon Railroad and Navigation and Northern Pacific Company clearing snowslide, March 29"".",snowplows; freight trains; avalanches; | Snowplows; Mine railroads; Avalanches; Coeur d'Alene Mining District (Idaho); | Railroad snowplow locomotives; Snow removal; Avalanches;,(Burke),47.519077,-115.837077,8-X00236,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/218,218,"Black Bear (Idaho), Snow Slide, 1894 | 1894 | Caption on Front:""Rotary plows on Oregon Railroad and Navigation and Northern Pacific Company clearing snowslide, March 29"". | snowplows; freight trains; avalanches; | Snowplows; Mine railroads; Avalanches; Coeur d'Alene Mining District (Idaho); | Railroad snowplow locomotives; Snow removal; Avalanches; |  (Burke)"
"Hercules Mine, Burke (Idaho), 1907",1907,"Image of the Hercules Mill in Burke, Idaho, taken from the opposite hillside, with  trees obscuring part of the photograph.",mine buildings; mines (extracting complexes);aerial tramways; | Mine buildings -- Idaho -- Shoshone County; Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; Aerial tramways;,Burke,47.537027,-115.823012,8-X00147b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/219,219,"Hercules Mine, Burke (Idaho), 1907 | 1907 | Image of the Hercules Mill in Burke, Idaho, taken from the opposite hillside, with  trees obscuring part of the photograph. | mine buildings; mines (extracting complexes);aerial tramways; | Mine buildings -- Idaho -- Shoshone County; Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; Aerial tramways; | Burke"
"Hercules Mine, Burke (Idaho), 1907",1907,"Distant view of Hercules Mine in Burke, Idaho; Caption on front: ""Hercules Mine"".",mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining;,Burke,47.537092,-115.823022,8-X00148,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/220,220,"Hercules Mine, Burke (Idaho), 1907 | 1907 | Distant view of Hercules Mine in Burke, Idaho; Caption on front: ""Hercules Mine"". | mine buildings; mines (extracting complexes); | Silver mines and mining -- Idaho -- Shoshone County; | Mine buildings -- Burke; Mining; | Burke"
"Hecla Mine, Burke (Idaho), 1909",1909,"Hecla Mine in Burke, Idaho. This view includes a church and several other buildings along the railroad tracks.",mine buildings; mines (extracting complexes); churches; buildings; (structures); dwellings; | Mine buildings -- Idaho -- Shoshone County; Mine railroad tracks; Hecla Mine (Idaho); | Mine buildings -- Burke; Mining; Churches; Houses ; Railroad tracks;,Burke,47.537133,-115.823111,8-X00150,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/221,221,"Hecla Mine, Burke (Idaho), 1909 | 1909 | Hecla Mine in Burke, Idaho. This view includes a church and several other buildings along the railroad tracks. | mine buildings; mines (extracting complexes); churches; buildings; (structures); dwellings; | Mine buildings -- Idaho -- Shoshone County; Mine railroad tracks; Hecla Mine (Idaho); | Mine buildings -- Burke; Mining; Churches; Houses ; Railroad tracks; | Burke"
"Hercules Mine, Burke (Idaho)",,"A distant view of Hercules Mine in Burke, Idaho. A road or railway has been added.",mines (extracting complexes); mine buildings; iron mines; silver mines; |  Hercules Mine (Idaho); Silver mines and mining--Idaho; Mines and mineral resources -- Idaho; Wooden-frame buildings; | Mining; Mine buildings;,Burke,47.542337,-115.808902,8-X00001b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/222,222,"Hercules Mine, Burke (Idaho) |  | A distant view of Hercules Mine in Burke, Idaho. A road or railway has been added. | mines (extracting complexes); mine buildings; iron mines; silver mines; |  Hercules Mine (Idaho); Silver mines and mining--Idaho; Mines and mineral resources -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; | Burke"
